time,mrid,node,phase,voltage
1672531200,_0281be7c-160c-4ee0-bd32-459572ba1e70,53,A,0.9788318178627352
1672531200,_02aed956-adbd-4b27-863f-574dd9f2a2cc,53,B,0.99819244742547
1672531200,_d9954e8c-4e3c-41a4-a49b-94206b7facfb,53,C,0.9878309841844306
1672531200,_540271ed-35c7-43e8-abc9-ee66b2d1be4f,65_batt,C,0.9684040666685917
1672531200,_5586cf06-088c-456e-a70e-7be48a7d1685,65_batt,A,0.9625330369941633
1672531200,_72b61baf-5b45-4a86-86b4-ede0a4b23ed8,65_batt,B,0.9823374367169717
1672531200,_bf12e3e1-8f97-43fa-9eb2-b8dc5298304b,51,A,0.9726558781166112
1672531200,_0e4b140b-faa2-4ae3-a45b-145688fbd227,28,A,0.9763447870708288
1672531200,_2e63394a-247b-4678-adc8-7b55d4cc9f25,28,B,0.9962377982476428
1672531200,_894fbbf7-7622-4805-8b02-1c282a047714,28,C,0.9829856366000895
1672531200,_f4780d69-ab1d-4ce0-9dda-7633d18e8d53,17,C,1.713502518352258
1672531200,_35b117cd-1df8-4111-96c4-72ac762f5efe,94,A,0.9747236166131056
1672531200,_0de530bb-3a7b-43aa-87f8-ef80da76919d,98,A,0.9741623921239655
1672531200,_24b0605f-215d-4b0e-b172-8f263b43f4b7,113,A,1.6782157914257876
1672531200,_42d36e7f-8cd0-4917-832d-281168ba954d,98,B,0.9954615081726573
1672531200,_700ffb40-408c-439f-a31e-4842afa12237,98,A,0.9741623921239655
1672531200,_edc4cc71-bb26-4284-b2f0-f14627210cbc,98,C,0.9834639057380912
1672531200,_61349b76-b508-4a17-83cc-28ae31ff4a23,74,C,0.9828277523206583
1672531200,_44637a1b-37c9-45fa-b5ab-8d5fc589e7ba,100,A,0.9743628955666566
1672531200,_930b2d17-c41a-46cd-8f16-bb691bfb135d,100,B,0.9950780592814703
1672531200,_fc598ebb-c669-4e2f-baae-3a14c67dcde3,100,C,0.9831645970984073
1672531200,_03a1bfba-56af-4d18-9261-0536d5344219,4,C,0.9951222714334383
1672531200,_d1aabb4b-0ac7-4b70-8033-d66732028d1e,113,A,0.9682014181302621
1672531200,_880e4b28-051e-4169-821e-7bde28e1be2c,16,C,0.9883346343581215
